kanji	on'yomi	kun'yomi	meaning	practice_data
怪	カイ	あや・しい、あや・しむ	suspicious, mystery, apparition	[0_0_0_0_0_0_NEW]
恋	レン	こ・う、こい、こい・しい	romance, in love, yearn for, miss, darling	[0_0_0_0_0_0_NEW]
恐	キョウ	おそ・れる、おそ・ろしい	fear, dread, awe	[0_0_0_0_0_0_NEW]
恒	コウ		constancy, always	[0_0_0_0_0_0_NEW]
恥	チ	は・じる、はじ、は・じらう、は・ずかしい	shame, dishonor	[0_0_0_0_0_0_NEW]
恨	コン	うら・む、うら・めしい	regret, bear a grudge, resentment, malice, hatred	[0_0_0_0_0_0_NEW]
恩	オン		grace, kindness, goodness, favor, mercy, blessing, benefit	[0_0_0_0_0_0_NEW]
恭	キョウ	うやうや・しい	respect, reverent	[0_0_0_0_0_0_NEW]
息	ソク	いき	breath, respiration, son, interest (on money)	[0_0_0_0_0_0_NEW]
恵	ケイ、エ	めぐ・む	favor, blessing, grace, kindness	[0_0_0_0_0_0_NEW]
悔	カイ	く・いる、く・やむ、くや・しい	repent, regret	[0_0_0_0_0_0_NEW]
悟	ゴ	さと・る	enlightenment, perceive, discern, realize, understand	[0_0_0_0_0_0_NEW]
æ' 	ユウ		permanence, distant, long time, leisure	[0_0_0_0_0_0_NEW]
患	カン	わずら・う	afflicted, disease, suffer from, be ill	[0_0_0_0_0_0_NEW]
悦	エツ		ecstasy, joy, rapture	[0_0_0_0_0_0_NEW]
悩	ノウ	なや・む、なや・ます	trouble, worry, in pain, distress, illness	[0_0_0_0_0_0_NEW]
悪	アク、オ	わる・い	bad, vice, rascal, false, evil, wrong	[0_0_0_0_0_0_NEW]
悲	ヒ	かな・しい、かな・しむ	jail cell, grieve, sad, deplore, regret	[0_0_0_0_0_0_NEW]
悼	トウ	いた・む	lament, grieve over	[0_0_0_0_0_0_NEW]
情	ジョウ、セイ	なさ・け	feelings, emotion, passion, sympathy, circumstances, facts	[0_0_0_0_0_0_NEW]
惑	ワク	まど・う	beguile, delusion, perplexity	[0_0_0_0_0_0_NEW]
惜	セキ	お・しい、お・しむ	pity, be sparing of, frugal, stingy, regret	[0_0_0_0_0_0_NEW]
惨	サン、ザン	みじ・め	wretched, disaster, cruelty, harsh	[0_0_0_0_0_0_NEW]
惰	ダ		lazy, laziness	[0_0_0_0_0_0_NEW]
想	ソウ、ソ		concept, think, idea, thought	[0_0_0_0_0_0_NEW]
愁	シュウ	うれ・える、うれ・い	distress, grieve, lament, be anxious	[0_0_0_0_0_0_NEW]
愉	ユ		pleasure, happy, rejoice	[0_0_0_0_0_0_NEW]
意	イ		idea, mind, heart, taste, thought, desire, care, liking	[0_0_0_0_0_0_NEW]
愚	グ	おろ・か	foolish, folly, absurdity, stupid	[0_0_0_0_0_0_NEW]
愛	アイ		love, affection, favourite	[0_0_0_0_0_0_NEW]
感	カン		emotion, feeling, sensation	[0_0_0_0_0_0_NEW]
慈	ジ	いつく・しむ	mercy	[0_0_0_0_0_0_NEW]
態	タイ		attitude, condition, figure, appearance, voice (of verbs)	[0_0_0_0_0_0_NEW]
慌	コウ	あわ・てる、あわ・ただしい	disconcerted, be confused, lose one's head	[0_0_0_0_0_0_NEW]
慎	シン	つつし・む	humility, be careful, discrete, prudent	[0_0_0_0_0_0_NEW]
慕	ボ	した・う	pining, yearn for, love dearly, adore	[0_0_0_0_0_0_NEW]
慢	マン		ridicule, laziness	[0_0_0_0_0_0_NEW]
慣	カン	な・れる、な・らす	accustomed, get used to, become experienced	[0_0_0_0_0_0_NEW]
慨	ガイ		rue, be sad, sigh, lament	[0_0_0_0_0_0_NEW]
慮	リョ		prudence, thought, concern, consider, deliberate, fear	[0_0_0_0_0_0_NEW]
慰	イ	なぐさめ・る、なぐさ・む	consolation, amusement, seduce, cheer, make sport of, comfort, console	[0_0_0_0_0_0_NEW]
慶	ケイ		jubilation, congratulate, rejoice, be happy	[0_0_0_0_0_0_NEW]
憂	ユウ	うれ・える、うれ・い、う・い	melancholy, grieve, lament, be anxious, sad, unhappy	[0_0_0_0_0_0_NEW]
憎	ゾウ	にく・む、にく・い、にく・らしい、にく・しみ	hate, detest	[0_0_0_0_0_0_NEW]
憤	フン	いきどお・る	aroused, resent, be indignant, anger	[0_0_0_0_0_0_NEW]
憩	ケイ	いこ・い、いこ・う	recess, rest, relax, repose	[0_0_0_0_0_0_NEW]
憲	ケン		constitution, law	[0_0_0_0_0_0_NEW]
憶	オク		recollection, think, remember	[0_0_0_0_0_0_NEW]
憾	カン		remorse, regret, be sorry	[0_0_0_0_0_0_NEW]
懇	コン	ねんご・ろ	sociable, kind, courteous, hospitable, cordial	[0_0_0_0_0_0_NEW]
懐	カイ		pocket, feelings, heart, yearn, miss someone, become attached to, bosom, breast	[0_0_0_0_0_0_NEW]
懲	チョウ	こ・りる、こ・らす、こ・らしめる	penal, chastise, punish, discipline	[0_0_0_0_0_0_NEW]
懸	ケン、ケ	か・ける、か・かる	suspend, hang, 10%, install, depend, consult	[0_0_0_0_0_0_NEW]
成	セイ、ジョウ	な・る、な・す	turn into, become, get, grow, elapse, reach	[0_0_0_0_0_0_NEW]
我	ガ	われ、わ	ego, I, selfish, our, oneself	[0_0_0_0_0_0_NEW]
戒	カイ	いまし・める	commandment	[0_0_0_0_0_0_NEW]
戦	セン	いく・さ、たたか・う	war, battle, match	[0_0_0_0_0_0_NEW]
戯	ギ	たわむ・れる	frolic, play, sport	[0_0_0_0_0_0_NEW]
戸	コ	と	door	[0_0_0_0_0_0_NEW]
戻	レイ	もど・す、もど・る	re-, return, revert, resume, restore, go backwards	[0_0_0_0_0_0_NEW]
房	ボウ	ふさ	tassel, tuft, fringe, bunch, lock (hair), segment (orange), house, room	[0_0_0_0_0_0_NEW]
所	ショ	ところ	place	[0_0_0_0_0_0_NEW]
扇	セン	おうぎ	fan, folding fan	[0_0_0_0_0_0_NEW]
扉	ヒ	とびら	front door, title page, front page	[0_0_0_0_0_0_NEW]
手	シュ	た、て	hand	[0_0_0_0_0_0_NEW]
才	サイ		genius, years old	[0_0_0_0_0_0_NEW]
打	ダ	う・つ	strike, hit, knock, pound, dozen	[0_0_0_0_0_0_NEW]
払	フツ	はら・う	pay, clear out, prune, banish, dispose of	[0_0_0_0_0_0_NEW]
扱	キュウ、ソウ	あつか・う	handle, entertain, thresh, strip	[0_0_0_0_0_0_NEW]
扶	フ		aid, help, assist	[0_0_0_0_0_0_NEW]
批	ヒ		criticism, strike	[0_0_0_0_0_0_NEW]
承	ショウ	うけたまわ・る	aquiesce, hear, listen to, be informed, receive	[0_0_0_0_0_0_NEW]
技	ギ	わざ	skill, art, craft, ability, feat, performance, vocation, arts	[0_0_0_0_0_0_NEW]
抄	ショウ		extract, selection, summary, copy, spread thin	[0_0_0_0_0_0_NEW]
把	ハ		grasp, faggot, bunch, bundle	[0_0_0_0_0_0_NEW]
抑	ヨク	お・さえる	repress, well, now, in the first place, push, shove, press, seal, do in spite of	[0_0_0_0_0_0_NEW]
投	トウ	な・げる	throw, discard, abandon, launch into, join, invest in, hurl, give up, sell at a loss	[0_0_0_0_0_0_NEW]
抗	コウ		confront, resist, defy, oppose	[0_0_0_0_0_0_NEW]
折	セツ	お・る、おり、お・れる	fold, break, fracture, bend, yield, submit	[0_0_0_0_0_0_NEW]
抜	バツ	ぬ・く、ぬ・ける、ぬ・かす、ぬ・かる	slip out, extract, pull out, pilfer, quote, remove, omit	[0_0_0_0_0_0_NEW]
択	タク		choose, select, elect, prefer	[0_0_0_0_0_0_NEW]
披	ヒ		expose, open	[0_0_0_0_0_0_NEW]
抱	ホウ	だ・く、いだ・く、かか・える	embrace, hug, hold in arms	[0_0_0_0_0_0_NEW]
抵	テイ		resist, reach, touch	[0_0_0_0_0_0_NEW]
抹	マツ		rub, paint, erase	[0_0_0_0_0_0_NEW]
押	オウ	お・す、お・さえる	push, stop, check, subdue, attach, seize, weight, shove, press, seal, do in spite of	[0_0_0_0_0_0_NEW]
抽	チュウ		pluck, pull, extract, excel	[0_0_0_0_0_0_NEW]
担	タン	かつ・ぐ、にな・う	shouldering, carry, raise, bear	[0_0_0_0_0_0_NEW]
拍	ハク・ヒョウ		clap, beat (music)	[0_0_0_0_0_0_NEW]
拐	カイ		kidnap, falsify	[0_0_0_0_0_0_NEW]
拒	キョ	こば・む	repel, refuse, reject, decline	[0_0_0_0_0_0_NEW]
拓	タク		clear (the land), open, break up (land)	[0_0_0_0_0_0_NEW]
拘	コウ		arrest, seize, concerned, adhere to, despite	[0_0_0_0_0_0_NEW]
拙	セツ		bungling, clumsy, unskillful	[0_0_0_0_0_0_NEW]
招	ショウ	まね・く	beckon, invite, summon, engage	[0_0_0_0_0_0_NEW]
拝	ハイ	おが・む	worship, adore, pray to	[0_0_0_0_0_0_NEW]
æ‹ 	キョ		foothold, based on, follow, therefore	[0_0_0_0_0_0_NEW]
拡	カク		broaden, extend, expand, enlarge	[0_0_0_0_0_0_NEW]
括	カツ		fasten, tie up, arrest, constrict	[0_0_0_0_0_0_NEW]
拷	ゴウ		torture, beat	[0_0_0_0_0_0_NEW]
拾	シュウ、ジュウ	ひろ・う	pick up, gather, find, go on foot	[0_0_0_0_0_0_NEW]
持	ジ	も・つ	hold, have	[0_0_0_0_0_0_NEW]
指	シ	ゆび、さ・す	finger, point to, indicate, put into, play (chess), measure (ruler)	[0_0_0_0_0_0_NEW]
挑	チョウ	いど・む	challenge, contend for, make love to	[0_0_0_0_0_0_NEW]
挙	キョ	あ・げる、あ・がる	raise, plan, project, behavior, actions	[0_0_0_0_0_0_NEW]
挟	キョウ	はさ・む、はさ・まる	pinch, between	[0_0_0_0_0_0_NEW]
振	シン	ふ・る、ふ・るう	shake, wave, wag, swing	[0_0_0_0_0_0_NEW]
挿	ソウ	さ・す	insert, put in, graft, wear (sword)	[0_0_0_0_0_0_NEW]
捕	ホ		catch, capture	[0_0_0_0_0_0_NEW]
捜	ソウ	さが・す	search, look for, locate	[0_0_0_0_0_0_NEW]
捨	シャ	す・てる	discard, throw away, abandon, resign, reject, sacrifice	[0_0_0_0_0_0_NEW]
据	キョ	す・える、す・わる	set, lay a foundation, install, equip, squat down, sit down	[0_0_0_0_0_0_NEW]
掃	ソウ	は・く	sweep, brush	[0_0_0_0_0_0_NEW]
授	ジュ	さず・ける、さず・かる	impart, instruct, grant, confer	[0_0_0_0_0_0_NEW]
掌	ショウ		manipulate, rule, administer, conduct, palm of hand	[0_0_0_0_0_0_NEW]
排	ハイ		repudiate, exclude, expel, reject, push	[0_0_0_0_0_0_NEW]
掘	クツ	ほ・る	dig, delve, excavate	[0_0_0_0_0_0_NEW]
掛		か・ける、か・かる、かかり	hang, suspend, depend, arrive at, tax	[0_0_0_0_0_0_NEW]
採	サイ	と・る	pick, take, fetch, take up	[0_0_0_0_0_0_NEW]
探	タン	さぐ・る、さが・す	grope, search, look for	[0_0_0_0_0_0_NEW]
接	セツ	つ・ぐ	touch, contact, adjoin, piece together	[0_0_0_0_0_0_NEW]
控	コウ	ひか・える	withdraw, draw in, hold back, refrain from, be moderate	[0_0_0_0_0_0_NEW]
推	スイ	お・す	conjecture, infer, guess, suppose, support	[0_0_0_0_0_0_NEW]
措	ソ		set aside, give up, suspend, discontinue, lay aside, except	[0_0_0_0_0_0_NEW]
掲	ケイ	かか・げる	put up (a notice), put up, hoist, display, hang out, publish, describe	[0_0_0_0_0_0_NEW]
描	ビョウ	えが・く	sketch, compose, write, draw, paint	[0_0_0_0_0_0_NEW]
提	テイ	さ・げる	propose, take along, carry in hand	[0_0_0_0_0_0_NEW]
揚	ヨウ	あ・げる、あ・がる	hoist, fry in deep fat	[0_0_0_0_0_0_NEW]
換	カン	か・える、か・わる	interchange, period, charge, change?	[0_0_0_0_0_0_NEW]
握	アク	にぎ・る	grip, hold, mould sushi, bribe	[0_0_0_0_0_0_NEW]
揮	キ		brandish, wave, wag, swing, shake	[0_0_0_0_0_0_NEW]
援	エン		abet, help, save	[0_0_0_0_0_0_NEW]
揺	ヨウ	ゆ・れる、ゆ・る、ゆ・らぐ、ゆ・るぐ、ゆ・する、ゆ	swing, shake, sway, rock, tremble, vibrate	[0_0_0_0_0_0_NEW]
損	ソン	そこ・なう、そこ・ねる	damage, loss, disadvantage, hurt, injure	[0_0_0_0_0_0_NEW]
搬	ハン		conveyor, carry, transport	[0_0_0_0_0_0_NEW]
搭	トウ		board, load (a vehicle), ride	[0_0_0_0_0_0_NEW]
携	ケイ	たずさ・える、たずさ・わる	portable, carry (in hand), armed with, bring along	[0_0_0_0_0_0_NEW]
搾	サク	しぼ・る	squeeze	[0_0_0_0_0_0_NEW]
摂	セツ		vicarious, surrogate, act in addition to	[0_0_0_0_0_0_NEW]
摘	テキ	つ・む	pinch, pick, pluck, trim, clip, summarize	[0_0_0_0_0_0_NEW]
摩	マ		chafe, rub, polish, grind, scrape	[0_0_0_0_0_0_NEW]
撃	ゲキ	う・つ	beat, attack, defeat, conquer	[0_0_0_0_0_0_NEW]
撤	テツ		remove, withdraw, disarm, dismantle, reject, exclude	[0_0_0_0_0_0_NEW]
撮	サツ	と・る	snapshot, take pictures	[0_0_0_0_0_0_NEW]
撲	ボク		slap, strike, hit, beat, tell, speak	[0_0_0_0_0_0_NEW]
擁	ヨウ		hug, embrace, possess, protect, lead	[0_0_0_0_0_0_NEW]
操	ソウ	みさお、あやつ・る	maneuver, manipulate, operate, steer, chastity, virginity, fidelity	[0_0_0_0_0_0_NEW]
擦	サツ	す・る、す・れる	grate, rub, scratch, scrape, chafe, scour	[0_0_0_0_0_0_NEW]
擬	ギ		mimic, aim (a gun) at, nominate, imitate	[0_0_0_0_0_0_NEW]
支	シ	ささ・える	branch, support, sustain	[0_0_0_0_0_0_NEW]
改	カイ	あらた・める、あらた・まる	reformation, change, modify, mend, renew, examine, inspect, search	[0_0_0_0_0_0_NEW]
攻	コウ	せ・める	aggression, attack	[0_0_0_0_0_0_NEW]
放	ホウ	はな・す、はな・つ、はな・れる	set free, release, fire, shoot, emit, banish, liberate	[0_0_0_0_0_0_NEW]
政	セイ、ショウ	まつりごと	politics, government	[0_0_0_0_0_0_NEW]
故	コ	ゆえ	happenstance, especially, intentionally, reason, cause, circumstances, the late, therefore, consequently	[0_0_0_0_0_0_NEW]
敏	ビン		cleverness, agile, alert	[0_0_0_0_0_0_NEW]
救	キュウ	すく・う	salvation, save, help, rescue, reclaim	[0_0_0_0_0_0_NEW]
敗	ハイ	やぶ・れる	failure, defeat, reversal	[0_0_0_0_0_0_NEW]
教	キョウ	おし・える、おそ・わる	teach, faith, doctrine	[0_0_0_0_0_0_NEW]
敢	カン		daring, sad, tragic, pitiful, frail, feeble	[0_0_0_0_0_0_NEW]
散	サン	ち・る、ち・らす、ち・らかす、ち・らかる	scatter, disperse, spend, squander	[0_0_0_0_0_0_NEW]
敬	ケイ	うやま・う	awe, respect, honor, revere	[0_0_0_0_0_0_NEW]
数	スウ、ス	かず、かぞ・える	number, strength, fate, law, figures	[0_0_0_0_0_0_NEW]
整	セイ	ととの・える、ととの・う	organize, arranging, tune, tone, meter, key (music)	[0_0_0_0_0_0_NEW]
敵	テキ	かたき	enemy, foe, opponent	[0_0_0_0_0_0_NEW]
敷	フ	し・く	spread, pave, sit, promulgate	[0_0_0_0_0_0_NEW]
文	ブン、モン	ふみ	sentence, literature, style, art, decoration, figures, plan	[0_0_0_0_0_0_NEW]
斉	セイ		adjusted, alike, equal, similar variety of	[0_0_0_0_0_0_NEW]
斎	サイ		purification, Buddhist food, room, worship, avoid, alike	[0_0_0_0_0_0_NEW]
斗	ト		Big Dipper, 10 sho (vol), sake dipper	[0_0_0_0_0_0_NEW]
料	リョウ		fee, materials	[0_0_0_0_0_0_NEW]
斜	シャ	なな・め	diagonal, slanting, oblique	[0_0_0_0_0_0_NEW]
斤	キン		axe, 1.32 lb, catty	[0_0_0_0_0_0_NEW]
斥	セキ		reject, retreat, recede, withdraw, repel, repulse	[0_0_0_0_0_0_NEW]
断	ダン	た・つ、ことわ・る	severance, decline, refuse, apologize, warn, dismiss, prohibit, decision, judgement, cutting	[0_0_0_0_0_0_NEW]
新	シン	あたら・しい、あら・た、にい	new	[0_0_0_0_0_0_NEW]
方	ホウ	かた	direction, person, alternative	[0_0_0_0_0_0_NEW]
施	シ、セ	ほどこ・す	alms, apply bandages, admin 1st aid	[0_0_0_0_0_0_NEW]
旅	リョ	たび	trip, holiday	[0_0_0_0_0_0_NEW]
旋	セン		rotation, go around	[0_0_0_0_0_0_NEW]
族	ゾク		tribe, family	[0_0_0_0_0_0_NEW]
旗	キ	はた	national flag, banner, standard	[0_0_0_0_0_0_NEW]
既	キ	すで・に	previously, already, long ago	[0_0_0_0_0_0_NEW]
日	ニチ、ジツ	ひ、か	day, sun, Japan	[0_0_0_0_0_0_NEW]
旧	キュウ		old times, old things, old friend, former, ex-	[0_0_0_0_0_0_NEW]
旨	シ	むね	delicious, relish, show a liking for, purport, will, clever, expert	[0_0_0_0_0_0_NEW]
早	ソウ、サッ	はや・い、はや・まる、はや・める	early, fast	[0_0_0_0_0_0_NEW]
旬	ジュン、シュン		decameron, 10-day period, season (for specific products)	[0_0_0_0_0_0_NEW]
昆	コン		descendants, elder brother	[0_0_0_0_0_0_NEW]
昇	ショウ	のぼ・る	rise up	[0_0_0_0_0_0_NEW]
明	メイ、ミョウ		bright, light	[0_0_0_0_0_0_NEW]
易	エキ、イ	やさ・しい	easy, fortune-telling, ready to, simple, divination	[0_0_0_0_0_0_NEW]
昔	セキ、シャク	むかし	once upon a time, antiquity, old times	[0_0_0_0_0_0_NEW]
星	セイ、ショウ	ほし	star, spot, dot, mark	[0_0_0_0_0_0_NEW]
æ˜ 	エイ	うつ・る、うつ・す、は・える	reflect, reflection, projection	[0_0_0_0_0_0_NEW]
春	シュン	はる	springtime, spring (season)	[0_0_0_0_0_0_NEW]
昨	サク		yesterday, previous	[0_0_0_0_0_0_NEW]
昭	ショウ		shining, bright	[0_0_0_0_0_0_NEW]
是	ゼ		just so, this, right, justice	[0_0_0_0_0_0_NEW]
昼	チュウ	ひる	daytime, noon	[0_0_0_0_0_0_NEW]
時	ジ	とき	time, hour	[0_0_0_0_0_0_NEW]
晩	バン		nightfall, night	[0_0_0_0_0_0_NEW]
普	フ		universal, wide(ly), generally, Prussia	[0_0_0_0_0_0_NEW]
景	ケイ		scenery, view	[0_0_0_0_0_0_NEW]
晴	セイ	は・れる、は・らす	clear up	[0_0_0_0_0_0_NEW]
晶	セイ	は・れる、は・らす	sparkle, clear, crystal	[0_0_0_0_0_0_NEW]
暁	ギョウ	あかつき	daybreak, dawn, in the event	[0_0_0_0_0_0_NEW]
暇	カ	ひま	spare time, rest, leisure, time, leave of absence	[0_0_0_0_0_0_NEW]
暑	ショ	あつ・い	sultry, hot, summer heat	[0_0_0_0_0_0_NEW]
暖	ダン		warmth	[0_0_0_0_0_0_NEW]
暗	アン	くら・い	darkness, disappear, shade, informal, grow dark, be blinded	[0_0_0_0_0_0_NEW]
暦	レキ	こよみ	calendar, almanac	[0_0_0_0_0_0_NEW]
暫	ザン		temporarily, a while, moment, long time	[0_0_0_0_0_0_NEW]
暮	ボ	く・れる、く・らす	livelihood, make a living, spend time	[0_0_0_0_0_0_NEW]
暴	ボウ、バク	あば・く、あば・れる	outburst, rave, fret, force, violence, cruelty, outrage	[0_0_0_0_0_0_NEW]
曇	ドン	くも・る	cloud	[0_0_0_0_0_0_NEW]
曜	ヨウ		weekday	[0_0_0_0_0_0_NEW]
曲	キョク	ま・がる、ま・げる	bend, music, melody, composition, pleasure, injustice, fault, curve, crooked, perverse, lean	[0_0_0_0_0_0_NEW]
更	コウ	さら、ふ・ける、ふ・かす	grow late, night watch, sit up late, of course	[0_0_0_0_0_0_NEW]
書	ショ	か・く	write	[0_0_0_0_0_0_NEW]
曹	ソウ		cadet, friend	[0_0_0_0_0_0_NEW]
替	タイ	か・える、か・わる	exchange, spare, substitute, per-	[0_0_0_0_0_0_NEW]
最	サイ,  シュ	もっと・も、つま	utmost, most, extreme	[0_0_0_0_0_0_NEW]
月	ゲツ、ガツ	つき	month, moon	[0_0_0_0_0_0_NEW]
有	ユウ、ウ	ある	possess, have, exist, happen, occur, approx	[0_0_0_0_0_0_NEW]
服	フク		clothing, admit, obey, discharge	[0_0_0_0_0_0_NEW]
朕	チン		majestic plural, imperial we	[0_0_0_0_0_0_NEW]
朗	ロウ	ほが・らか	melodious, clear, bright, serene, cheerful	[0_0_0_0_0_0_NEW]
望	ボウ、モウ	のぞ・む	ambition, full moon, hope, desire, aspire to, expect	[0_0_0_0_0_0_NEW]
朝	チョウ	あさ	morning, dynasty, regime, epoch, period, (North) Korea	[0_0_0_0_0_0_NEW]
期	キ、ゴ		period, time, date, term	[0_0_0_0_0_0_NEW]
木	ボク、モク	き、こ	tree, wood	[0_0_0_0_0_0_NEW]
未	ミ		un-, not yet, hitherto, still, even now	[0_0_0_0_0_0_NEW]
末	マツ、バツ	すえ	not yet, end, close, tip, powder, posterity	[0_0_0_0_0_0_NEW]
本	ホン	もと	book, present, main, true, real, no. of long things	[0_0_0_0_0_0_NEW]
札	サツ	ふだ	tag, paper money, no. of bonds, placard, bid	[0_0_0_0_0_0_NEW]
朱	シュ		vermilion, cinnabar, scarlet, red, bloody	[0_0_0_0_0_0_NEW]
朴	ボク		crude, simple, plain, docile	[0_0_0_0_0_0_NEW]
机	キ	つくえ	desk, table	[0_0_0_0_0_0_NEW]
朽	キュウ	く・ちる	decay, rot, remain in seclusion	[0_0_0_0_0_0_NEW]
杉		すぎ	cedar, cryptomeria	[0_0_0_0_0_0_NEW]
材	ザイ		lumber, log, timber, wood, talent	[0_0_0_0_0_0_NEW]
村	ソン	むら	town, village	[0_0_0_0_0_0_NEW]
束	ソク	たば	bundle, sheaf, ream, tie in bundles, govern, manage, control	[0_0_0_0_0_0_NEW]
条	ジョウ		article, clause, item, stripe, streak	[0_0_0_0_0_0_NEW]
来	ライ	く・る、きた・る、きた・す	come, due, next, cause, become	[0_0_0_0_0_0_NEW]
杯	ハイ	さかずき	cupfuls, wine glass, glass, toast	[0_0_0_0_0_0_NEW]
東	トウ	ひがし	east	[0_0_0_0_0_0_NEW]
松	ショウ	まつ	pine tree	[0_0_0_0_0_0_NEW]
板	ハン、バン	いた	plank, board, plate, stage	[0_0_0_0_0_0_NEW]
析	セキ		chop, divide, tear, analyze	[0_0_0_0_0_0_NEW]
林	リン	はやし	grove, forest	[0_0_0_0_0_0_NEW]
枚	マイ		sheet of..., counter for flat thin objects	[0_0_0_0_0_0_NEW]
果	カ	は・たす、は・てる、は・て	fruit, reward, carry out, achieve, complete, end, finish, succeed	[0_0_0_0_0_0_NEW]
枝	シ	えだ	bough, branch, twig, limb	[0_0_0_0_0_0_NEW]
æž 		わく	frame, framework, spindle, spool, bounding-box, (kokuji)	[0_0_0_0_0_0_NEW]
枢	スウ		hinge, pivot, door	[0_0_0_0_0_0_NEW]
枯	コ	か・れる、か・らす	wither, die, dry up, be seasoned	[0_0_0_0_0_0_NEW]
架	カ	か・ける、か・かる	erect, frame, mount, support, shelf, construct	[0_0_0_0_0_0_NEW]
柄	ヘイ	がら、え	design, pattern, build, nature, handle, crank, grip, knob, shaft	[0_0_0_0_0_0_NEW]
某	ボウ		so-and-so, one, a certain, that person	[0_0_0_0_0_0_NEW]
染	セン	そ・める、そ・まる、し・みる、し・み	dye, color, paint, stain, print	[0_0_0_0_0_0_NEW]
柔	ジュウ、ニュウ	やわ・らか、やわ・らかい	tender, weakness, gentleness, softness	[0_0_0_0_0_0_NEW]
柱	チュウ	はしら	pillar, post, cylinder, support	[0_0_0_0_0_0_NEW]
柳	リュウ	やなぎ	willow	[0_0_0_0_0_0_NEW]
査	サ		investigate	[0_0_0_0_0_0_NEW]
æ "	エイ	さか・える、は・え、は・える	flourish, prosperity, honor, glory, splendor	[0_0_0_0_0_0_NEW]
æ "	セン		plug, bolt, cork, bung, stopper	[0_0_0_0_0_0_NEW]
æ ¡	コウ		exam, school, printing, proof, correction	[0_0_0_0_0_0_NEW]
æ ª		かぶ	stocks, stump, shares, stock, no. of small plants	[0_0_0_0_0_0_NEW]
æ ¸	カク		nucleus, core, kernel	[0_0_0_0_0_0_NEW]
æ ¹	コン	ね	root, radical, head (pimple)	[0_0_0_0_0_0_NEW]
æ ¼	カク、コウ		status, rank, capacity, character, case (law, grammar)	[0_0_0_0_0_0_NEW]
æ ½	サイ		plantation, planting	[0_0_0_0_0_0_NEW]
桃	トウ	もも	peach tree	[0_0_0_0_0_0_NEW]
案	アン		plan, suggestion, draft, ponder, fear, proposition, idea, expectation, bill, worry	[0_0_0_0_0_0_NEW]
桑	ソウ	くわ	mulberry	[0_0_0_0_0_0_NEW]
桜	オウ	さくら	cherry tree	[0_0_0_0_0_0_NEW]
桟	サン		scaffold, cleat, frame, jetty, bolt (door)	[0_0_0_0_0_0_NEW]
梅	バイ	うめ	plum	[0_0_0_0_0_0_NEW]
械	カイ		contraption, fetter, machine, instrument	[0_0_0_0_0_0_NEW]
棄	キ		abandon, throw away, discard, resign, reject, sacrifice	[0_0_0_0_0_0_NEW]
棋	キ		chess piece, Japanese chess, shogi	[0_0_0_0_0_0_NEW]
棒	ボウ		rod, stick, cane, pole, club, line	[0_0_0_0_0_0_NEW]
棚	たな		shelf, ledge, rack, mount, mantle, trellis	[0_0_0_0_0_0_NEW]
棟	トウ	むね、むな	ridgepole, ridge	[0_0_0_0_0_0_NEW]
森	シン	もり	forest, woods	[0_0_0_0_0_0_NEW]
棺	カン		coffin, casket	[0_0_0_0_0_0_NEW]
植	ショク	う・える、う・わる	plant	[0_0_0_0_0_0_NEW]
検	ケン		examination, investigate	[0_0_0_0_0_0_NEW]
業	ギョウ、ゴウ		business, vocation, arts, performance	[0_0_0_0_0_0_NEW]
極	キョク、ゴク	きわ・める、きわ・まる、きわ・み	quite, very	[0_0_0_0_0_0_NEW]
楼	ロウ		watchtower, lookout, high building	[0_0_0_0_0_0_NEW]
楽	ガク、ラク	たの・しい、たの・しむ	music, comfort, ease	[0_0_0_0_0_0_NEW]
概	ガイ		outline, condition, approximation, generally	[0_0_0_0_0_0_NEW]
構	コウ	かま・える、かま・う	posture, build, pretend	[0_0_0_0_0_0_NEW]
様	ヨウ	さま	Esq., way, manner, situation, polite suffix	[0_0_0_0_0_0_NEW]
槽	ソウ		vat, tub, tank	[0_0_0_0_0_0_NEW]
標	ヒョウ		signpost, seal, mark, stamp, imprint, symbol, emblem, trademark, evidence, souvenir, target	[0_0_0_0_0_0_NEW]
模	モ、ボ		imitation, copy, mock	[0_0_0_0_0_0_NEW]
権	ケン、ゴン		authority, power, rights	[0_0_0_0_0_0_NEW]
横	オウ	よこ	sideways, side, horizontal, width, woof	[0_0_0_0_0_0_NEW]
樹	ジュ		timber trees, wood	[0_0_0_0_0_0_NEW]
橋	キョウ	はし	bridge	[0_0_0_0_0_0_NEW]
機	キ	はた	mechanism, opportunity, occasion, machine, airplane	[0_0_0_0_0_0_NEW]
欄	ラン		column, handrail, blank, space	[0_0_0_0_0_0_NEW]
æ¬ 	ケツ	か・ける、か・く	lack, gap, fail	[0_0_0_0_0_0_NEW]
次	ジ、シ	つ・ぐ、つぎ	next, order, sequence	[0_0_0_0_0_0_NEW]
欧	オウ		Europe	[0_0_0_0_0_0_NEW]
欲	ヨク	ほっ・する、ほ・しい	longing, covetousness, greed, passion, desire, craving	[0_0_0_0_0_0_NEW]
欺	ギ	あざむ・く	deceit, cheat, delude	[0_0_0_0_0_0_NEW]
款	カン		goodwill, article, section, friendship, collusion	[0_0_0_0_0_0_NEW]
歌	カ	うた、うた・う	song, sing	[0_0_0_0_0_0_NEW]
歓	カン		delight, joy	[0_0_0_0_0_0_NEW]
